airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,he_ident
02IS,40,40,MATS,0,0,H1,
02KS,1650,100,TURF,0,0,11,29
02KS,1950,150,TURF,0,0,18,36
02KY,100,100,CONC,0,0,H1,
02LA,20,20,CONC,0,0,H1,
02LS,24,24,CONC,0,0,H1,
02MA,50,50,ASPH,0,0,H1,
02ME,2400,60,TURF,0,0,14,32
02MI,2000,100,TURF,0,0,9,27
02MN,1897,192,TURF-P,0,0,3,21
02MN,2500,192,TURF-F,0,0,12,30
02MN,2553,82,TURF-P,0,0,13,31
02MO,2200,50,TURF-G,0,0,8,26
02MS,2150,60,TURF-F,0,0,12,30
02MU,1900,125,TURF,0,0,N,S
02NC,100,100,TURF,0,0,H1,
02NH,3000,300,WATER,0,0,18W,36W
02NH,20,20,TURF,0,0,H1,
02NV,2200,50,TURF,0,0,9,27
02NY,25,25,TURF,0,0,H1,
02OH,2750,50,TURF,0,0,9,27
02OI,1500,75,TURF,0,0,E,W
02OR,2000,30,TURF,0,0,E,W
02P,100,100,TURF-G,1,0,H1,
02PA,60,50,TURF-GRVL,0,0,H1,
02PN,40,40,ASPH,0,0,H1,
02PR,2000,50,TURF,0,0,6,24
02PS,500,100,TURF,0,0,1,19
02SC,3600,150,TURF-G,0,0,4,22
02T,4050,60,DIRT-G,0,0,2,20
02TA,32,32,CONC,0,0,H1,
02TE,40,40,CONC,1,0,H1,
02TN,1600,120,TURF,0,0,11,29
02TX,4800,80,TURF,0,0,17,35
02UT,4000,30,DIRT,0,0,7,25
02UT,4000,50,DIRT-P,0,0,16,34
02VA,3000,80,TURF,0,0,18,36
02WA,2650,50,TURF,0,0,16,34
02WI,2200,60,TURF,0,0,18,36
02WN,1500,30,DIRT,0,0,13,31
02XA,1950,50,Turf,0,0,18,36
02XS,1500,40,TURF,0,0,2,20
02XS,1320,40,TURF,0,0,11,29
03AK,1000,70,DIRT,0,0,7,25
03AK,6000,500,WATER,0,0,N,S
03AK,2600,500,WATER,0,0,NE,SW
03AL,50,50,CONC,1,0,H1,
03AR,117,117,CONC,1,0,H1,
03AZ,3600,60,DIRT,1,0,E,W
03CA,40,40,CONC,1,0,H1,
03CO,4000,30,ASPH-G,0,0,13,31
03FA,2000,200,TURF,0,0,E,W
03FD,2000,50,TURF-G,0,0,9,27
03FL,50,40,CONC,0,0,H1,
03GA,1990,65,Turf,0,0,10,28
03GA,1955,60,Turf,0,0,11,29
03I,2375,90,TURF-G,0,0,13,31
03ID,1800,100,TURF,0,0,11,29
03II,1000,200,TURF,0,0,N,S
03IL,2600,105,TURF,0,0,18,36
03IS,40,40,CONC,0,0,H1,
03KS,25,25,GRAVEL,0,0,H1,
03KY,2300,80,TURF,0,0,3,21
03LA,60,60,TURF,0,0,H1,
03LS,40,40,CONC,1,0,H1,
03M,3800,200,WATER,0,0,2,20
03MA,1600,60,TURF,0,0,12,30
03MD,50,50,CONC,1,0,H1,
03ME,2400,90,TURF,0,0,18,36
03MI,20,20,TURF,0,0,H1,
03MN,1940,75,TURF,0,0,17,35
03MO,2200,50,TURF,0,0,15,33
03MS,60,60,CONC,0,0,H1,
03MU,2400,24,ASPH,1,0,17,35
03N,2400,50,GRVL,0,0,7,25
03NC,2750,40,ASPH-G,0,0,9,27
03ND,2600,50,TURF,0,0,17,35
03NE,2200,200,TURF,0,0,1,19
03NH,12,80,ASPH,0,0,H1,
03NV,3200,30,TURF-P,0,0,18,36
03NY,2000,75,TURF,0,0,16,34
03OH,2100,60,TURF,0,0,N,S
03OH,2200,60,TURF,0,0,NE,SW
