airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,he_ident
9V2,2360,280,TURF-F,1,0,14,32
9V3,2800,50,TURF-P,0,0,12,30
9VA0,3700,150,TURF,0,0,E,W
9VA1,2200,150,TURF,0,0,E,W
9VA2,35,35,ASPH,0,0,H1,
9VA3,1800,75,TURF,0,0,4,22
9VA4,1550,90,TURF,0,0,3,21
9VA5,600,165,CONC,1,0,H1,
9VA7,50,50,CONC,0,0,H1,
9VA8,35,35,TURF,0,0,H1,
9VA9,30,30,CONC,0,0,H1,
9VG,3000,100,TURF-G,0,0,3,21
9VG,1455,140,TURF-G,0,0,14,32
9VG9,1500,70,TURF,0,0,16,34
9W3,1500,50,TURF-F,0,0,1,19
9W8,2493,100,TURF-G,0,0,10,28
9W9,2598,125,TURF-G,0,0,5,23
9WA0,60,60,ASPH,0,0,H1,
9WA1,40,40,CONC-G,0,0,H1,
9WA2,36,36,MATS,0,0,H1,
9WA3,3750,60,TURF-DIRT-P,0,0,3,21
9WA3,5000,100,WATER,0,0,04W,22W
9WA4,2100,30,GRVL-G,0,0,7,25
9WA5,40,40,CONC-G,0,0,H1,
9WA6,52,36,CONC,0,0,H1,
9WA7,2000,100,TURF,0,0,16,34
9WA8,150,150,CONC,0,0,H1,
9WA9,100,100,ASPH,0,0,H1,
9WI0,50,50,ASP,1,0,H1,H1
9WI1,1500,60,TURF,0,0,9,27
9WI2,1500,150,TURF,0,0,N,S
9WI3,1336,50,TURF,0,0,N,S
9WI4,2000,80,TURF,0,0,N,S
9WI5,1700,50,TURF,0,0,15,33
9WI6,1800,100,TURF,0,0,8,26
9WI8,2000,80,TURF,0,0,E,W
9WI9,2500,75,TURF,0,0,9,27
9WN1,3403,32,ASPH-P,1,0,18,36
9WN2,3500,50,ASPH,1,0,4,22
9WN3,1900,175,TURF-P,0,0,9,27
9WN3,1700,295,TURF-F,0,0,18,36
9WN4,2200,70,TURF,0,0,18,36
9WN5,1875,105,TURF-G,0,0,9,27
9WN6,6000,4000,WATER,0,0,ALL,WAY
9WN9,2600,40,GRAVEL,0,0,18,36
9WS2,2200,65,TURF,0,0,18,36
9WY0,45,45,CONC,1,0,H1,
9X9,3950,100,TURF-F,0,0,9,27
9XS0,2000,60,TURF,0,0,1,19
9XS1,3044,100,TURF,0,0,6,24
9XS2,1150,30,TURF,0,0,17,35
9XS3,2750,125,TURF,0,0,3,21
9XS4,1800,100,TURF-G,0,0,18,36
9XS5,3600,60,DIRT,0,0,N,S
9XS6,2900,20,ASPH-F,0,0,4,22
9XS7,1800,65,TURF,0,0,4,22
9XS8,40,40,ALUMINUM,1,0,H1,
9XS9,1800,75,TURF,0,0,15,33
9Y0,2531,150,TURF-G,1,0,7,25
9Y2,2618,160,TURF-G,0,0,13,31
9Y5,6500,1000,WATER,0,0,3,21
9Y5,6500,1000,WATER,0,0,7,25
9Y5,4500,1000,WATER,0,0,14,32
9Y7,2010,260,TURF-G,0,0,9,27
9Z3,2100,250,WATER-E,0,0,NE,SW
9Z7,600,50,DIRT,0,0,4,22
9Z7,800,50,DIRT,0,0,13,31
9Z8,3281,59,GRVL-F,1,0,1,19
9Z9,2200,50,GRVL-P,0,0,15,33
A05,4500,100,TURF-F,0,0,18,36
A13,1000,15,GRAVEL-P,0,0,14,32
A23,10000,1000,WATER,0,0,NW,SE
A26,2850,40,ASPH-P,0,0,9,27
A27,2000,1000,WATER,0,0,E,W
A28,3660,50,GRVL-G,0,0,16,34
A29,4000,200,WATER,0,0,NW,SE
A43,3000,1000,WATER,0,0,NE,SW
A51,4230,65,TURF-G,0,0,18,36
A57,1860,12,TURF-F,0,0,6,24
A61,3025,75,GRAVEL-G,1,0,2,20
A63,3000,60,GRAVEL-G,1,0,18,36
A67,2000,10,TURF-P,0,0,5,23
A68,2150,10,TURF-P,0,0,13,31
A69,1800,10,TURF-F,0,0,12,30
A70,1800,10,TURF-P,0,0,2,20
A77,1560,16,GRVL-DIRT-P,0,0,13,31
A79,2800,60,GRVL-F,0,0,8,26
AA00,650,20,TURF,0,0,2,20
AA01,3800,500,WATER,0,0,11W,29W
AA02,5500,200,WATER,0,0,01W,19W
AA03,80,80,GRVL,0,0,H1,
AA04,50,50,ASPH,0,0,H1,
AA05,1104,14,GRVL,0,0,6,24
AA06,1600,35,GRVL,0,0,6,24
AA07,50,50,TURF,0,0,H1,
AA09,2100,30,GVL,0,0,6,24
AA11,1950,200,WATER,0,0,07W,25W
AA12,2500,900,Water,0,0,15W,33W
AA16,2700,100,GVL,0,0,16,34
AA16,1370,100,GVL,0,0,2,22
AA22,2350,60,TURF,0,0,15,33
AA27,65,65,ASPH,1,0,H1,
AA30,1285,60,GRVL-G,0,0,5,23
AA33,1700,100,TURF,0,0,18,36
AA44,55,55,ROOF-TOP,1,0,H1,
AA50,5000,150,ICE,1,0,4,22
AA76,2450,75,TURF,0,0,15,33
AA85,2500,200,WATER,0,0,06W,24W
ADC,1552,98,Grassed brown clay,0,0,7,25
AEK,1969,98,Grassed red silt clay,0,0,16,34
AFR,2073,98,Grassed brown silt clay,0,0,3,21
AGAF,1501,131,Coral grass,0,0,6,24
AGAR,2822,66,Coral,0,0,11,29
AGAT,2769,49,Crushed coral,0,0,13,31
AGEV,2297,82,Gravel dirt,0,0,15,33
AGGA,3100,,UNK,0,0,18,36
AGGB,2187,59,Coral sand,0,0,11,29
AGGC,2164,82,Sand grass,0,0,13,31
AGGE,5413,,UNK,0,0,5,23
AGGF,1854,82,Grass,0,0,18,36
AGGH,7218,148,ASP,1,0,6,24
AGGI,1953,72,Grass,0,0,17,35
AGGJ,2461,98,Grass,0,0,14,32
AGGK,4377,,UNK,0,0,10,28
AGGL,2999,,Coral,0,0,5,23
AGGM,4593,98,ASP,0,0,7,25
AGGN,3609,,UNK,0,0,14,32
AGGO,3281,,UNK,0,0,4,22
AGGP,2156,79,Coral,0,0,12,30
AGGQ,2644,62,Coral,0,0,9,27
AGGR,2206,66,Coral,0,0,12,30
AGGS,3002,,UNK,0,0,10,28
AGGT,2655,75,Coral,0,0,11,29
AGGU,2001,98,Coral,0,0,5,23
AGGV,2789,79,Sand grass,0,0,4,22
AGKG,2428,148,Sand/grass,0,0,14,32
AGKU,1821,66,Graded earth,0,0,13,31
AGKW,1896,66,Limestone/Grass,0,0,8,26
AGNA,2657,66,Soil and Grass,0,0,12,30
AGRC,2461,75,Coral grass,0,0,1,19
AGRM,2500,,,0,0,14,32
AHJ,11800,150,CON,1,0,16,34
AIE,3281,,GRS,0,0,1,19
AIH,2526,98,Brown silt clay,0,0,13,31
AK0,1000,25,GRAVEL-P,0,0,10,28
AK00,2500,75,GRVL,0,0,16,34
AK01,1750,50,GRVL,0,0,6,24
AK02,1400,65,GRAVEL,0,0,10,28
AK05,800,50,GRVL,0,0,17,35
AK06,4000,150,GRAVEL,0,0,12,30
AK07,1900,40,GRVL,0,0,4,22
AK07,1800,40,GRVL,0,0,14,32
AK08,1650,30,GRVL,0,0,15,33
AK09,2380,100,TURF,0,0,15,33
AK1,1806,50,GRAVEL-P,0,0,7,25
AK10,1875,70,GRVL,0,0,15,33
AK11,1540,70,GRAVEL-P,0,0,4,22
AK12,1078,50,TURF-P,0,0,13,31
AK13,3000,60,GRVL,0,0,8,26
AK14,2000,120,GRVL,0,0,9,27
AK16,1600,100,GRVL,0,0,E,W
AK17,1555,75,TURF,0,0,1,19
AK18,1100,60,GRVL,0,0,12,30
AK19,2500,75,TURF,0,0,16,34
AK20,3500,170,GRVL,1,0,4,22
AK21,1000,50,TURF,0,0,16,34
AK22,4000,50,GRVL,0,0,6,24
AK22,3400,100,WATER,0,0,06W,24W
AK24,1400,22,TURF,0,0,3,21
AK25,1200,50,TURF,0,0,6,24
AK26,1150,35,DIRT-GRVL-P,0,0,1,19
AK27,1800,30,GRVL,0,0,6,24
AK28,4700,60,GRVL-G,0,0,18,36
AK28,4000,200,WATER,0,0,18W,36W
AK29,1600,50,DIRT,0,0,E,W
AK30,1600,200,TURF,0,0,9,27
AK31,2000,35,TURF,0,0,16,34
AK32,50,50,GRVL,1,0,H1,
AK33,970,50,GRVL-TURF-P,0,0,7,25
AK33,1090,35,GRVL-TURF-F,0,0,12,30
AK34,4000,500,WATER,0,0,NW,SE
AK35,300,300,GRVL,0,0,H1,
AK36,3000,70,GRVL,0,0,1,19
AK37,30,30,TURF,0,0,H1,
AK38,130,130,ASPH-G,1,0,H1,
AK39,2500,50,GRVL,0,0,2,20
AK40,4200,100,GRVL-G,0,0,16,34
AK41,1800,70,TURF,0,0,7,25
AK42,52,52,ASPH-G,1,0,H1,
AK43,4000,500,WATER,0,0,08W,26W
AK44,1600,30,GRAVEL,0,0,16,34
AK45,3120,150,GRAVEL-P,0,0,17,35
AK46,1000,40,GRVL,0,0,7,25
AK47,1100,50,TURF,0,0,5,23
AK48,104,104,TURF,1,0,H1,
AK49,2200,45,GRAVEL,0,0,16,34
AK5,3500,500,WATER-E,0,0,09W,27W
AK50,2000,26,ASPH,0,0,6,24
AK51,4200,100,GRVL,0,0,5,23
AK52,1320,50,TURF,0,0,9,27
AK53,1800,75,TURF-F,0,0,16,34
AK54,900,80,GRVL,0,0,15,33
AK55,2000,40,DIRT,0,0,8,26
AK56,2000,2000,WATER,0,0,NE,SW
AK57,5000,600,WATER,0,0,15W,33W
AK58,2800,60,GRVL,0,0,5,23
AK59,1800,100,TURF,0,0,6,24
AK60,4700,125,GRAVEL,0,0,6,24
AK61,750,50,TURF,0,0,18,36
AK62,10000,1000,WATER,0,0,N,S
AK62,10000,300,WATER,0,0,NE,SW
AK63,1800,100,TURF,0,0,NE,SW
AK64,1950,12,GRVL-DIRT-P,0,0,14,32
AK65,1300,100,TURF,0,0,5,23
AK66,1150,60,GRVL,0,0,9,27
AK67,1400,100,DIRT,0,0,18,36
AK68,1200,30,GRVL,0,0,15,33
AK69,1800,40,GRVL,0,0,15,33
AK71,5000,100,GRAVEL,1,0,7,25
AK72,1950,150,TURF,0,0,14,32
AK73,1500,60,GRVL,0,0,18,36
AK74,62,62,ASPH-CONC,0,0,H1,
AK75,3880,90,GRVL-F,0,0,2,20
AK76,1500,10,TURF-F,0,0,2,20
AK77,5500,75,TURF-GRVL,0,0,9,27
AK79,1300,60,TURF,0,0,9,27
AK8,3800,2000,WATER,0,0,04W,22W
AK8,4000,1600,WATER,0,0,14W,32W
AK80,1800,100,GRVL-TURF,0,0,2,20
AK81,8000,700,WATER,0,0,N,S
AK82,100,90,TRTD,0,0,H1,
AK83,2100,175,TURF,0,0,18,36
AK84,2400,80,GRVL,0,0,8,26
AK85,800,100,TURF,0,0,7,25
AK86,850,70,TURF-GRVL,0,0,4,22
AK87,50,50,CONC,0,0,H1,
AK88,1300,125,TURF,0,0,15,33
AK89,1000,20,TURF,0,0,6,24
AK90,1800,30,TURF,0,0,16,34
AK91,50,50,ASPH,0,0,H1,
AK92,600,50,DIRT,0,0,17,35
AK93,1600,35,GRVL,0,0,2,20
AK94,100,100,GRVL,0,0,H1,
AK95,1000,80,TURF,0,0,9,27
AK97,2612,100,GRAVEL,0,0,4,22
AK98,1220,70,GRAVEL,0,0,17,35
AK99,1200,75,TURF,0,0,2,20
AL-LA10,3855,228,GRS,0,0,14,32
AL00,1800,200,TURF,0,0,2,20
AL01,3000,100,TURF,0,0,11,29
AL02,2000,100,TURF,0,0,8,26
AL03,2002,60,TURF-G,0,0,1,19
AL05,5000,75,ASPH-G,1,0,4,22
AL06,25,25,CONC,0,0,H1,
AL07,40,40,ASPH,0,0,H1,
AL08,2400,100,TURF,0,0,17,35
AL09,2450,80,TURF,0,0,18,36
AL10,2500,60,TURF,0,0,9,27
AL11,45,45,MATS,1,0,H1,
AL12,4600,50,ASPH,1,0,9,27
AL13,50,50,CONC,0,0,H1,
AL14,50,50,CONC,0,0,H1,
AL15,2600,80,TURF,0,0,N,S
AL16,2500,100,TURF,0,0,18,36
AL17,3300,100,TURF,0,0,15,33
AL18,1550,100,TURF,0,0,13,31
AL19,40,40,CONC,0,0,H1,
AL20,40,40,CONC,1,0,H1,
AL21,80,45,CONC,0,0,H1,
AL22,50,50,CONC,0,0,H1,
AL24,50,50,CONC,0,0,H1,
AL25,1600,100,TURF,0,0,9,27
AL26,50,50,CONC,0,0,H1,
AL27,2000,50,TURF,0,0,18,36
AL28,20,20,ASPH,0,0,H1,
AL29,2500,100,TURF,0,0,16,34
AL32,2600,75,TURF,0,0,4,22
AL33,2100,100,TURF,0,0,3,21
AL34,3500,30,TURF,0,0,9,27
AL35,1450,50,TURF,0,0,3,21
AL36,30,30,CONC,0,0,H1,
AL37,1800,50,TURF-F,0,0,8,26
AL38,60,60,ALUMINUM,0,0,H1,
AL39,50,50,CONC,0,0,H1,
AL40,1500,15,TURF-GRVL,0,0,1,19
AL41,3300,90,TURF,1,0,10,28
AL42,50,50,CONC,0,0,H1,
AL43,3000,50,TURF,0,0,10,28
AL45,19,19,CONC,0,0,H1,
AL46,6200,1200,WATER,0,0,02W,20W
AL46,6500,1000,WATER,0,0,08W,26W
AL46,11000,1100,WATER,0,0,17W,35W
AL47,30,30,CONC,0,0,H1,
AL48,60,60,CONC,0,0,H1,
AL49,70,70,CONC,0,0,H1,
AL49,70,70,CONC,0,0,H2,
AL50,20,20,CONC,0,0,H1,
AL51,2000,100,TURF,0,0,12,30
AL52,60,60,CONC,0,0,H1,
AL53,40,40,PFC,0,0,H1,
AL54,2200,80,TURF,0,0,17,35
AL55,2032,100,TURF-G,0,0,9,27
AL56,2000,100,TURF,0,0,5,23
AL58,3200,150,WATER,0,0,10W,28W
AL59,60,60,CONC,0,0,H1,
AL60,2600,100,TURF,0,0,10,28
AL61,1015,150,GRS,1,0,9,27
AL62,2600,80,TURF,1,0,18,36
AL63,30,30,CONC,0,0,H1,
AL65,40,40,CONC,0,0,H1,
AL66,64,64,CONC,0,0,H1,
AL69,2000,60,TURF,0,0,18,36
AL70,150,150,TURF,1,0,H1,
AL71,4500,60,ASPH,1,0,8,26
AL72,1800,100,Turf,0,0,18,36
AL73,5300,46,ASPH,0,0,14,32
AL74,1800,100,TURF,0,0,5,23
AL75,4330,300,WATER,0,0,06W,24W
AL76,3200,100,TURF,0,0,2,20
AL77,2100,60,TURF,0,0,9,27
AL78,2200,140,TURF,0,0,17,35
AL79,2500,200,TURF,0,0,18,36
AL81,1700,100,TURF,0,0,N,S
AL82,50,50,ASPH,0,0,H1,
AL83,20,20,CONC,0,0,H1,
AL84,2750,140,TURF,0,0,9,27
AL86,30,30,CONC,0,0,H1,
AL87,44,40,CONC,0,0,H1,
AL88,1320,95,TURF,0,0,9,27
AL89,2250,100,TURF,0,0,7,25
AL90,50,50,CONC,0,0,H1,
AL91,70,70,CONC,0,0,H1,
AL92,3400,75,TURF,0,0,11,29
AL93,2450,80,TURF-G,0,0,18,36
AL94,2600,70,TURF,0,0,18,36
AL95,50,50,CONC,0,0,H1,
AL95,50,50,CONC,0,0,H2,
AL96,3000,300,WATER,0,0,05W,23W
AL97,2000,100,TURF,0,0,18,36
ALZ,10000,1000,WATER,0,0,NE,SW
AM-0002,,,paved,0,0,8,26
AM-0007,,,,0,1,15,33
AMC,8398,,concrete,0,0,18,36
AMF,2300,98,Grassed red clay,0,0,15,33
AMU,1900,98,Grassed red silt clay,0,0,18,36
AN01,2500,35,DIRT,0,0,13,31
ANG,7000,150,GRVL-F,0,0,5,23
ANYN,7054,148,ASP,1,0,12,30
APR,2034,98,Grassed brown clay,0,0,18,36
AQ-0002,9927,,Blue Ice,0,0,7,25
AQY,2088,73,GRAVEL-G,0,0,1,19
AR-0005,3281,98,GRE,0,0,12,30
AR-0005,2736,98,GRE,0,0,2,20
AR-0008,3839,164,GRE,0,0,1,19
AR-0009,3937,98,GRE,0,0,18,36
AR-0009,2953,131,GRE,0,0,9,27
AR-0010,3215,98,GRE,0,0,13,31
AR-0010,2953,75,ASP,0,0,3,21
AR-0011,3773,128,GRE,0,0,5,23
AR-0012,1575,66,GRE,0,0,8,26
AR-0013,2953,66,GRE,0,0,2,20
AR-0014,3609,66,GRE,0,0,1,19
AR-0017,3117,98,GRE,0,0,9,27
AR-0018,5741,164,GRE,0,0,1,19
AR-0018,2461,164,GRE,0,0,9,27
AR-0019,2592,66,ASP,0,0,7,25
AR-0019,2434,66,ASP,0,0,9,27
AR-0020,66,66,CON,0,0,H1,H1
AR-0021,3182,164,GRE,0,0,4,22
AR-0022,2887,98,GRE,0,0,1,19
AR-0023,2953,131,GRE,0,0,11,29
AR-0023,3609,131,GRE,0,0,16,34
AR-0024,2625,131,GRE,0,0,16,34
AR-0024,3425,98,GRE,0,0,3,21
AR-0025,3281,92,GRE,0,0,8,26
AR-0026,2625,98,GRE,0,0,14,32
AR-0026,3281,98,GRE,0,0,18,36
AR-0026,2625,98,GRE,0,0,9,27
AR-0027,3445,98,GRE,0,0,18,36
AR-0027,3117,98,GRE,0,0,8,26
AR-0028,3281,98,GRE,0,0,18,36
AR-0028,2953,98,GRE,0,0,6,24
AR-0029,1929,98,GRE,0,0,10,28
AR-0030,2362,59,GRE,0,0,18,36
AR-0031,3937,262,GRE,0,0,16,34
AR-0032,2461,98,GRE,0,0,18,36
AR-0033,2297,75,GRE,0,0,10,28
AR-0034,2625,98,GRE,0,0,16,34
AR-0035,2461,98,GRE,0,0,8,26
AR-0036,3488,131,GRE,0,0,2,20
AR-0038,3445,98,GRE,0,0,1,19
AR-0040,2297,98,GRE,0,0,18,36
AR-0041,2625,75,GRE,0,0,18,36
AR-0044,3264,98,GRE,0,0,1,19
AR-0045,46,46,GRE,0,0,H1,H1
AR-0046,59,59,MET,0,0,H1,H1
AR-0047,1804,66,GRE,0,0,2,20
AR-0048,2461,98,GRE,0,0,14,32
AR-0049,3740,98,GRE,0,0,1,19
AR-0050,39,66,ASP,0,0,H1,H1
AR-0051,82,82,ASP,0,0,,
AR-0052,2953,197,GRE,0,0,11,29
AR-0053,2297,66,GRE,0,0,1,19
AR-0053,2887,85,GRE,0,0,17,35
AR-0054,98,59,GRE,0,0,,
AR-0056,2461,66,GRE,0,0,2,20
AR-0058,2461,131,GRE,0,0,18,36
AR-0060,3018,98,GRE,0,0,6,24
AR-0061,3281,98,GRE,0,0,4,22
AR-0062,1968,59,GRE,0,0,15,33
AR-0063,4265,98,GRE,0,0,14,32
AR-0066,2461,59,GRE,0,0,6,24
AR-0067,1381,59,GRE,0,0,4,22
AR-0068,2625,49,GRE,0,0,2,20
AR-0069,49,66,CON,0,0,,
AR-0070,1640,89,GRE,0,0,1,19
AR-0071,2133,59,GRE,0,0,11,29
AR-0073,56,56,CON,0,0,,
AR-0075,69,69,GRE,0,0,,
AR-0076,2756,92,GRE,0,0,1,19
AR-0077,3609,197,GRE,0,0,1,19
AR-0078,2756,82,GRE,0,0,1,19
AR-0079,2329,98,GRE,0,0,18,36
AR-0080,3100,98,GRE,0,0,2,20
AR-0081,3314,98,GRE,0,0,17,35
AR-0081,2828,75,GRE,0,0,9,27
AR-0082,2625,75,GRE,0,0,13,31
AR-0082,2625,75,GRE,0,0,18,36
AR-0082,2625,75,GRE,0,0,9,27
AR-0083,3609,98,GRE,0,0,17,35
AR-0084,2625,66,GRE,0,0,5,23
AR-0085,2953,59,GRE,0,0,3,21
AR-0086,2552,59,GRE,0,0,4,22
AR-0087,62,62,CON,0,0,,
AR-0088,3166,98,GRE,0,0,15,33
AR-0092,49,49,CON,0,0,,
AR-0093,59,59,CON,0,0,,
AR-0094,2133,49,GRE,0,0,18,36
AR-0096,3281,105,GRE,0,0,1,19
AR-0096,2625,98,GRE,0,0,10,28
AR-0097,2953,75,ASP,0,0,1,19
AR-0098,2461,164,GRE,0,0,18,36
AR-0099,2133,98,GRE,0,0,17,35
AR-0100,3934,75,ASP,0,0,4,22
AR-0101,3281,98,GRE,0,0,3,21
AR-0101,2953,98,GRE,0,0,8,26
AR-0102,2953,98,GRE,0,0,2,20
AR-0104,56,89,GRE,0,0,,
AR-0105,79,79,CON,0,0,,
AR-0107,3609,98,GRE,0,0,17,35
AR-0108,2493,98,GRE,0,0,18,36
AR-0109,46,59,GRE,0,0,,
AR-0110,3937,98,GRE,0,0,2,20
AR-0111,2592,98,GRE,0,0,2,20
AR-0113,3445,98,GRE,0,0,1,19
AR-0113,3445,98,GRE,0,0,10,28
AR-0114,2953,98,GRE,0,0,10,28
AR-0114,3281,98,GRE,0,0,18,36
AR-0115,4265,98,GRE,0,0,10,28
AR-0115,4265,98,GRE,0,0,15,33
AR-0116,3294,98,GRE,0,0,1,19
AR-0117,2133,66,GRE,0,0,3,21
AR-0118,2621,66,GRE,0,0,1,19
AR-0119,5249,148,GRE,0,0,7,25
AR-0120,56,56,CON,0,0,,
AR-0121,2461,66,GRE,0,0,2,20
AR-0122,3117,75,GRE,0,0,15,33
AR-0123,66,98,CON,0,0,,
AR-0124,4593,98,GRE,0,0,15,33
AR-0125,3117,98,GRE,0,0,3,21
AR-0126,49,66,CON,0,0,,
AR-0127,1968,49,GRE,0,0,5,23
AR-0128,3281,98,GRE,0,0,2,20
AR-0128,3281,98,GRE,0,0,6,24
AR-0129,59,59,CON,0,0,,
AR-0130,2621,75,GRE,0,0,18,36
AR-0132,2461,59,GRE,0,0,8,26
AR-0133,59,49,GRE,0,0,,
AR-0134,3281,98,GRE,0,0,12,30
AR-0134,7431,148,ASP,0,0,5,23
AR-0135,1837,66,GRE,0,0,1,19
AR-0136,2592,98,GRE,0,0,8,26
AR-0137,3858,72,GRE,0,0,6,24
AR-0138,2621,75,GRE,0,0,18,36
AR-0139,2953,98,GRE,0,0,1,19
AR-0140,2461,98,GRE,0,0,17,35
AR-0140,2953,98,GRE,0,0,7,25
AR-0141,3133,98,GRE,0,0,15,33
AR-0141,3077,98,GRE,0,0,6,24
AR-0142,3150,131,GRE,0,0,3,21
AR-0143,5085,59,ASP,0,0,6,24
AR-0144,79,79,GRE,0,0,,
AR-0145,59,59,GRE,0,0,,
AR-0146,49,66,GRE,0,0,,
AR-0147,2789,98,GRE,0,0,2,20
AR-0150,2949,75,GRE,0,0,9,27
AR-0152,59,82,GRE,0,0,,
AR-0153,2953,66,GRE,0,0,7,25
AR-0154,43,66,CON,0,0,,
AR-0155,56,72,CON,0,0,,
AR-0156,62,62,GRE,0,0,,
AR-0157,3051,98,GRE,0,0,18,36
AR-0158,3182,66,GRE,0,0,15,33
AR-0159,49,69,CON,0,0,,
AR-0160,2461,98,GRE,0,0,6,24
AR-0161,3609,75,GRE,0,0,18,36
AR-0162,3281,98,GRE,0,0,16,34
AR-0163,66,66,CON,0,0,,
AR-0164,1804,49,GRE,0,0,11,29
AR-0165,4199,66,GRE,0,0,1,19
AR-0165,2625,98,GRE,0,0,4,22
AR-0166,2379,131,GRE,0,0,18,36
AR-0167,2231,98,GRE,0,0,17,35
AR-0168,4528,98,GRE,0,0,18,36
AR-0169,3281,98,GRE,0,0,1,19
AR-0169,2625,98,GRE,0,0,13,31
AR-0170,1870,66,GRE,0,0,12,30
AR-0172,2264,98,GRE,0,0,1,19
AR-0172,3937,98,GRE,0,0,6,24
AR-0173,3412,95,GRE,0,0,17,35
AR-0174,3934,98,GRE,0,0,1,19
AR-0175,1050,49,GRE,0,1,11,29
AR-0176,3478,148,GRE,0,0,17,35
AR-0176,2953,148,GRE,1,0,5,23
AR-0177,2461,59,GRE,0,0,11,29
AR-0178,1916,59,GRE,0,0,6,24
AR-0179,2461,98,GRE,0,0,9,27
AR-0180,3934,98,GRE,0,0,13,31
AR-0180,3934,98,GRE,0,0,18,36
AR-0181,3937,197,GRE,0,0,2,20
AR-0182,2762,92,GRE,0,0,16,34
AR-0184,2297,82,GRE,0,0,10,28
AR-0185,66,66,GRE,0,0,,
AR-0186,46,46,MET,0,0,,
AR-0187,59,59,MET,0,0,,
AR-0188,39,39,MET,0,0,,
AR-0189,39,39,MET,0,0,,
AR-0190,46,46,MET,0,0,,
AR-0191,49,49,MET,0,0,,
AR-0192,33,33,CON,0,0,,
AR-0193,2782,75,GRE,0,0,18,36
AR-0193,2454,59,GRE,0,0,5,23
AR-0194,56,89,CON,0,0,,
AR-0195,49,59,CON,0,0,,
AR-0196,49,59,ASP,0,0,,
AR-0197,49,66,CON,0,0,,
AR-0198,3609,98,GRE,0,0,18,36
AR-0199,2953,75,GRE,0,0,1,19
AR-0200,2559,75,GRE,0,0,18,36
AR-0201,3937,131,GRE,0,0,2,20
AR-0202,3182,115,GRE,0,0,1,19
AR-0203,2461,98,GRE,0,0,18,36
AR-0204,2461,98,,0,0,18,36
AR-0205,2182,66,GRE,0,0,5,23
AR-0206,33,49,CON,0,0,,
AR-0207,3412,59,GRE,0,0,1,19
AR-0208,2067,66,GRE,0,0,2,20
AR-0209,2953,75,ASP,0,0,18,36
AR-0210,2625,98,GRE,0,0,1,19
AR-0211,3281,98,GRE,0,0,18,36
AR-0212,4921,82,GRE,0,0,11,29
AR-0213,2297,66,GRE,0,0,3,21
AR-0214,1837,92,GRE,0,0,5,23
AR-0215,52,52,GRE,0,0,,
AR-0216,4429,164,GRE,0,0,18,36
AR-0217,3661,82,GRE,0,0,6,24
AR-0218,3068,98,GRE,0,0,18,36
AR-0218,2753,98,GRE,0,0,2,20
AR-0218,2953,98,GRE,0,0,9,27
AR-0219,2388,66,GRE,0,0,8,26
AR-0220,43,43,CON,0,0,,
AR-0221,59,59,GRE,0,0,,
AR-0224,3937,98,GRE,0,0,15,33
AR-0225,3215,98,GRE,0,0,13,31
AR-0226,49,49,GRE,0,0,,
AR-0227,4593,197,GRE,0,0,1,19
AR-0228,33,49,CON,0,0,,
AR-0229,2625,98,GRE,0,0,3,21
AR-0230,3281,131,GRE,0,0,5,23
AR-0231,3937,98,GRE,0,0,1,19
AR-0232,2428,92,GRE,0,0,3,21
AR-0233,66,66,GRE,0,0,,
AR-0234,2215,95,GRE,0,0,1,19
AR-0235,3281,98,GRE,0,0,10,28
AR-0236,75,75,GRE,0,0,,
AR-0237,2133,72,GRE,0,0,10,28
AR-0238,3937,197,GRE,0,0,12,30
AR-0240,2461,98,GRE,0,0,3,21
AR-0241,3117,98,GRE,0,0,17,35
AR-0241,1968,98,GRE,0,0,5,23
AR-0242,66,66,GRE,0,0,,
AR-0243,59,49,CON,0,0,,
AR-0244,3937,98,GRE,0,0,10,28
AR-0245,2461,98,GRE,0,0,8,26
AR-0246,3934,98,ASP,0,0,16,34
AR-0247,2625,98,GRE,0,0,2,20
AR-0248,3937,131,GRE,0,0,1,19
AR-0249,656,49,GRE,0,0,10,28
AR-0250,82,59,GRE,0,0,,
AR-0251,3445,102,GRE,0,0,1,19
AR-0252,2789,85,GRE,0,0,15,33
AR-0253,2674,98,GRE,0,0,14,32
AR-0254,2460,65,GRE,0,0,6,24
AR-0255,2297,98,GRE,0,0,12,30
AR-0255,3012,98,GRE,0,0,16,34
AR-0255,2297,98,GRE,0,0,2,20
AR-0256,1903,82,GRE,0,0,1,19
AR-0257,1968,98,GRE,0,0,10,28
AR-0257,2953,98,GRE,0,0,17,35
AR-0258,1968,82,GRE,0,0,2,20
AR-0259,59,66,GRE,0,0,,
AR-0260,4806,98,GRE,0,0,8,26
AR-0262,2625,98,GRE,0,0,18,36
AR-0263,82,82,GRE,0,0,,
AR-0264,4921,98,GRE,0,0,14,32
AR-0264,4199,98,GRE,0,0,5,23
AR-0265,72,59,GRE,0,0,,
AR-0266,2133,98,GRE,0,0,14,32
AR-0267,2887,59,GRE,0,0,18,36
AR-0268,33,49,GRE,0,0,,
AR-0270,66,66,GRE,0,0,,
AR-0271,2621,75,GRE,0,0,1,19
AR-0271,2165,98,GRE,0,0,9,27
AR-0272,2444,49,GRE,0,0,18,36
AR-0273,2953,98,GRE,0,0,4,22
AR-0274,3871,131,GRE,0,0,15,33
